idsubproduto,nome_produto,descrsecao,descrgrupo,descrsubgrupo,descricao_produto,especificacao_tecnica,pagina_web,manual,fotos
10600,TESOURA P/CORTAR CHAPA N.3,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,FERRAMENTA,"A Tesoura para Corte de Chapa N° 3 é uma ferramenta robusta e versátil, fabricada em Ferro Nodular 42012 e lâminas de aço de alta dureza, ideal para cortes de chapas de médio e alto carbono com dureza máxima de 35 HRC.","Número: 3, Largura do mordente: 3 mm, Espessura de chapa até: 1/8"" (3,18 mm), Comprimento da lâmina: 180 mm, Comprimento do cabo: 500 mm, Alcance de corte: 150 mm, Peso: 5.7 kg, Capacidade de tração: 42kgfm/mm², Elasticidade: 12%",https://www.somaronline.com.br/produto/tesoura-para-corte-de-chapa-n-3-58,https://d7rh5s3nxmpy4.cloudfront.net/CMP4506/files/MANUAL_TIJERAS_CORTACHAPAS_-_PT.pdf,https://www.rmferramentas.com.br/tesoura-cortar-chapa-3mm-18-n-3-metalsul | https://www.lfmaquinaseferramentas.com.br/-tesoura-para-cortar-chapa-n-3-metalsul/p | https://www.lojadomecanico.com.br/produto/19656/24/239/tesoura-corta-chapa-n-3--com-cabo-metalsul-mcc110
10602,TESOURA P/CORTAR CHAPA N.4,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,FERRAMENTA,"Tesoura mecânica para cortar chapas de aço, fabricada em ferro fundido nodular com acabamento texturizado. Ideal para cortes precisos em chapas de até 5/32 polegadas.","Número: 4, Alcance de corte: 210mm, Largura do mordente: 4mm, Espessura de chapa até: 5/32"", Dimensões (CxLxA): 340 x 100 x 235mm, Composição: Ferro Fundido Nodular FE 42012, Acabamento: Pintura a pó eletrostática texturizada, Aplicações: Corte de chapas de aço com dureza máxima de 35HRC",https://brusfer.com.br/tesoura-p-cortar-chapa-n-4-5-32-metalsul-9389,https://d7rh5s3nxmpy4.cloudfront.net/CMP4506/files/MANUAL_TIJERAS_CORTACHAPAS_-_PT.pdf,https://parafutrecos.com.br/tesoura-para-cortar-chapa-10-reta-783135.html | https://cesarnatal.com.br/produto/tesoura-cortar-chapa-n-3-chapa-1-8 | https://www.dutra.com.br/p/tesoura-manual-para-cortar-chapa-10-7831355-7831355
10604,TESOURA P/CORTAR CHAPA N.5,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,FERRAMENTA,"A Tesoura para Cortar Chapa N°5 TC-5 MARCON é uma ferramenta essencial para cortes de chapas de aço com dureza até 35 HRC. Ideal para funilarias, caldeirarias e serralherias industriais, oferece precisão e segurança com sua construção robusta em ferro fundido nodular.","Comprimento da Alavanca: 746 mm, Alcance de Corte: 250 mm, Espessura da Chapa (Máximo): 5 mm - 3/16 POL, Tamanho da Lmina: 340 mm, Espessura da Lmina: 9,53 mm, Material: Ferro Fundido Nodular, Medidas(AxLxC)(mm): 404 x 100 x 440, Peso: 15,2 kg, Garantia: 3 meses",https://palaciodasferramentas.com.br/tesoura-para-cortar-chapa-tc-5-marcon,https://d7rh5s3nxmpy4.cloudfront.net/CMP4506/files/MANUAL_TIJERAS_CORTACHAPAS_-_PT.pdf,https://www.madeiramadeira.com.br/tesoura-para-cortar-chapa-n-5-mtc-05-motomil-549223143.html | https://www.refercomercio.com.br/ferramentas-de-bancada/acessorios/laminas-para-tesoura-de-cortar-chapa-n-5-metalsul | https://grupogmeg.com/produto/tesoura-guilhotina-de-chapa
10128,CHUMBADORQ. BICOMPONENTEAMPOLA12MM KIT,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Chumbador químico bicomponente em ampola de 12mm, ideal para fixação em concreto e alvenaria. Utilizado em instalações de máquinas, equipamentos e estruturas metálicas.","Modelo: AQA12, Diâmetro compatível: 12mm, Tipo: Âncora química em ampola, Aplicação: Concreto e alvenaria, Profundidade mínima: 110mm, Carga última de tração: 8.143 kgf, Carga última de corte: 4.924 kgf, Tempo de cura: 10 minutos a 30°C",https://www.mercadolivre.com.br/kit-10-chumbador-quimico-ancora-ampola-aqa12-12mm-fixacao/up/MLBU4607058170,https://pt.scribd.com/document/473377031/FISPQ-CHUMBADOR-QUIMICO-EM-AMPOLA-RB-POLIESTER,https://mepar.com.br/produto/7311/chumbador-quimico-ampola-12mm-bi-componente | https://www.skrparafusos.com.br/chumbador-quimico-de-ampola-12mm-ancora-aqa12 | https://www.aecweb.com.br/empresa/rock-bolt/7118/conteudo/chumbador-quimico-bicomponente-facil-instalacao-e-alta-resistencia/24712
11863,CHUMBADORQ. BICOMPONENTEAMPOLA16MM KIT,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Chumbador Químico Bicomponente em Ampola 16 mm Âncora, kit com 10 unidades. Ideal para fixações estruturais de alta resistência em concreto, proporcionando ancoragem segura para barras roscadas, vergalhões e chumbadores metálicos.","Marca: Âncora; Tipo: chumbador químico em ampola AQA16; Sistema: bicomponente (resina + endurecedor); Diâmetro da ampola: 16 mm; Aplicação: ancoragem química em concreto; Indicação de uso: fixação estrutural, máquinas, estruturas metálicas, corrimãos e suportes; Compatibilidade: barras roscadas e vergalhões compatíveis com furo de 16 mm.",https://www.ebfixcomercial.com.br/chumbador-quimico-aqa16-ampola-16mm-bicomponente-ancora-10-un,https://pt.scribd.com/document/473377031/FISPQ-CHUMBADOR-QUIMICO-EM-AMPOLA-RB-POLIESTER,https://www.ebfixcomercial.com.br/chumbador-quimico-aqa16-ampola-16mm-bicomponente-ancora-10-un | https://www.piatatem.com.br/chumbador-quimico-em-ampola-rb--poliester----16mm----rock-bolt-85749453 | https://martfer.com.br/produto/chumbador-quimico-ampola-ancora-aqa16-16mm-p
10910,LUVA FIBRA SINTETICA FLEX CUT M9 - WURTH,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de proteção contra agentes mecânicos e com alta resistência ao corte, fabricada em malha sintética em mescla de poliéster, basalto inerte e spandex, com palma em PU antiderrapante.","Certificações: BS EN 420:2003 + A1:2009, EN 388:2016, EN ISO 13997. Composição: malha sintética em mescla de poliéster, basalto inerte e spandex. Palma em PU antiderrapante. Punho elástico. Nível “F” no teste de corte TDM por lâmina fixa.",https://varejo.wurth.com.br/p/8053984/luva-em-fibra-sintetica-flex-cut-f-9-wurth-0899451502-par,https://s3.sa-east-1.amazonaws.com/bd-sp.canaldapeca.com.br/Wurth/MANUAIS/12-04-2022/13.10.0220/13.10.0220.pdf,https://varejo.wurth.com.br/p/8053984/luva-em-fibra-sintetica-flex-cut-f-9-wurth-0899451502-par | https://s3.sa-east-1.amazonaws.com/bd-sp.canaldapeca.com.br/Wurth/MANUAIS/12-04-2022/13.10.0220/13.10.0220.pdf
11233,LUVA NITRILICA LARANJA DIAMOND TAM.9,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva nitrílica laranja da marca Diamond, tamanho 9, para proteção contra agentes mecânicos e químicos. Certificada e ambidestra, com punho em virola e textura em formato de diamante.","100% borracha nitrílica; cor laranja; punho terminado em virola; palma, dedo e dorso texturizado em formato de diamante; ambidestra; não esterilizada; livre de silicone e látex; sem talco; impermeável; uso único.",https://shopee.com.br/Luva-Nitr%C3%ADlica-Diamond-Laranja-TAM.9-(G)-UNITARIO-PAR-WURTH-i.1497382346.23094142405,https://s3.sa-east-1.amazonaws.com/bd-sp.canaldapeca.com.br/Wurth/CATALOGO/26-04-2023/13.10.0315/13.10.0315_LUVA_NITR%C3%8DLICA_DESCART%C3%81VEL_.pdf,https://www.casadolavador.com.br/equipamentos/epi-s/luva-nitrilica-diamond-laranja-tam-9-g-unitario-par-wurth | https://shopee.com.br/Luva-Nitr%C3%ADlica-Diamond-Laranja-TAM.9-(G)-UNITARIO-PAR-WURTH-i.1497382346.23094142405 | https://varejo.wurth.com.br/p/10240063/luva-nitrilica-descartavel-laranja-diamond-n-9-embalagem-com-50-unidades-wurth-0899970912-kit
10118,LUVA POLIEST LATEX CORRUGADA PRETA 9,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva sintética em malha de poliéster na cor vermelha com revestimento em látex corrugado na palma e nos dedos, punho em malha elástica. Oferece conforto e flexibilidade nas operações onde exijam agarre e tato. Pode ser utilizada em condições secas ou úmidas.","Peso: 0,300 kg, Dimensões: 15 × 10 × 7 cm, Comprimento Total: 238mm, Material do Forro: Poliéster vermelho, Revestimento: Látex corrugado na palma e dedos (Alto grip), Tamanho: 9, Composição: 1 Par",https://danteresolve.com.br/produto/luva-protecao-poliester-latex-corrugada-tam-9-preta-vermelha-wurth,https://s3.sa-east-1.amazonaws.com/bd-sp.canaldapeca.com.br/Wurth/CATALOGO/13-03-2024/13.10.0230/13.10.0230%20%281%29.pdf,https://rocketreach.co/hd-store-oficial-profile_b7fc2e72c25c8a9b | https://rocketreach.co/show-de-imagem-email-format_b7b85970c53a2fe3
10122,LUVA POLIEST NITRIL CINZA 9,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"A Luva de Poliéster com Revestimento Nitrílico Cinza Tamanho 09 - G é ideal para proteção das mãos em atividades que exigem resistência e conforto. Possui dorso ventilado e punho elástico, proporcionando um ajuste seguro e respirável.",Material: Poliéster / Borracha nitrílica; Revestimento: Borracha nitrílica (palma e pontas dos dedos); Cor: Preto / Cinza; Tamanho: G - 09; CA: 38.238; Costuras: Sem costura; Acabamento do punho: Punho elástico; Dorso: Ventilado; Aplicação: Proteção das mãos; EAN: 3295249131692; Código do Fornecedor: VE712GR09; Modelo: VE712; Marca: DeltaPlus,https://www.hiperfer.com.br/luva-de-poliester-com-revestimento-nitrilico-cinza-tamanho-09-g-deltaplus,https://chemitool.com/wp-content/uploads/2022/10/fp_pt_chs021105_luva_poliester_nitrilo_chemitool_rv00.pdf,https://www.novaprotect.com.br/luvas-de-seguranca | https://rocketreach.co/hd-store-oficial-profile_b7fc2e72c25c8a9b | https://rocketreach.co/marcelo-gusmao-meireles-email_754032270
10402,LUVA PU PTA 8M,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de segurança tricotada em náilon com palma, face palmar dos dedos e pontas dos dedos revestidas em poliuretano. Punho com elastano, indicada para proteção contra agentes abrasivos, cortantes, perfurantes e risco térmico.","Tamanho: 8-M, Material: náilon e poliuretano, Punho: elastano, Certificação: EN388, EN407, C.A. 15.272, Resistência térmica: 100°C, Validade: 5 anos após a data de fabricação",https://www.femacdistribuidora.com.br/luva-pu-pta-kalipso-tamanho-8-m-19614,https://cdn.dooca.com.br/rhmateriaiseletricos/product/916268791bf82e47aeb0af07501cedc4-15641599932699.pdf,https://www.lojadomecanico.com.br/produto/98098/36/316/luva-de-seguranca-tamanho-xg---pu-preta-kalipso-020934 | https://loja.anjosepi.com.br/protecao-para-as-maos/luva-pu-pta-t-10-xg-kalipso-c-a-15-272
