idsubproduto,nome_produto,descrsecao,descrgrupo,descrsubgrupo,descricao_produto,especificacao_tecnica,pagina_web,manual,fotos
10027,BOTA TESTE 38,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,ABRACADEIRA,"Bota Longa 38 da marca BBBAGRO, destinada a uso multiuso em ambientes agropecuários.",Não encontradas especificações técnicas detalhadas.,https://www.bbbpet.com.br/produto/configurar-bota-longa-38,Não encontrado,http://casabotossi.blogspot.com/2011/09/lista-de-produtos-ferragens-ferramentas.html | https://www.dafiti.com.br/calcados-femininos/botas/tamanho-38 | https://www.bottero.net/botas
10029,BOTA TESTE 40,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,ABRACADEIRA,"Bota de segurança em PVC, modelo 82BPC600, tamanho 40, com forro e sem biqueira, ideal para ambientes de trabalho que exigem proteção e conforto.","Tipo de Calçado: Bota, CA: 37456, Utilização: Impermeável, Material: Policloreto Polivinila (PVC), Fechamento: Fechado por Inteiro, Biqueira: Sem Biqueira, Cor: Branco, Solado: Policloreto Polivinila (PVC), Forro: Com Forro, Característica Construtiva: Cano Curto",https://www.dimensional.com.br/bota-prof-pvc-br-c-ct-c-f-s-b-40-82bpc600-bracol/p,Não encontrado,https://www.amazon.com.br/Otoolling-bra%C3%A7adeiras-inoxid%C3%A1vel-universal-bra%C3%A7adeira/dp/B0FWC29VKH | https://www.youtube.com/watch?v=9HZMqLuZaVM | https://www.hellermanntyton.com.br/produtos/abracadeiras-sem-serrilhado
10031,BOTA TESTE 42,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,ABRACADEIRA,"Bota de segurança tamanho 42, destinada a proteção em ambientes de trabalho.",Tamanho: 42. Material: Não especificado. Certificação: Não especificada.,Não encontrado,Não encontrado,https://castueraonline.es/pt/drogaria/protecao-no-trabalho/calcado-de-seguranca/sapatos-de-seguranca-brezzi-s1-tamanho-42/36848 | https://rocketreach.co/bota-technik-profile_b7977dd8c24e603a | https://rocketreach.co/bota-biosciences-profile_b43d960ec19c8eb1
10033,BOTA TESTE 44,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,ABRACADEIRA,"Bota Teste 44, um produto não especificado no contexto fornecido. As informações disponíveis são relacionadas a abraçadeiras de aço carbono e outros produtos similares.",Não encontrada.,Não encontrado,Não encontrado,https://rocketreach.co/bota-technik-profile_b7977dd8c24e603a | https://www.oetiker.com/pt-pt/products/assembly-tools/hand-tools/hand-installation-pincers-for-low-profile-clamps-168 | https://www.hellermanntyton.com.br/produtos/abracadeiras-de-aco-inox
10600,TESOURA P/CORTAR CHAPA N.3,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,FERRAMENTA,"A Tesoura para Corte de Chapa N° 3 é uma ferramenta robusta e versátil, fabricada em Ferro Nodular 42012 e lâminas de aço de alta dureza, ideal para cortes de chapas de médio e alto carbono com dureza máxima de 35 HRC.","Número: 3, Largura do mordente: 3 mm, Espessura de chapa até: 1/8"" (3,18 mm), Comprimento da lâmina: 180 mm, Comprimento do cabo: 500 mm, Alcance de corte: 150 mm, Peso: 5.7 kg, Capacidade de tração: 42kgfm/mm², Elasticidade: 12%",https://www.somaronline.com.br/produto/tesoura-para-corte-de-chapa-n-3-58,https://d7rh5s3nxmpy4.cloudfront.net/CMP4506/files/MANUAL_TIJERAS_CORTACHAPAS_-_PT.pdf,https://www.rmferramentas.com.br/tesoura-cortar-chapa-3mm-18-n-3-metalsul | https://www.lfmaquinaseferramentas.com.br/-tesoura-para-cortar-chapa-n-3-metalsul/p | https://www.lojadomecanico.com.br/produto/19656/24/239/tesoura-corta-chapa-n-3--com-cabo-metalsul-mcc110
10602,TESOURA P/CORTAR CHAPA N.4,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,FERRAMENTA,"Tesoura mecânica para cortar chapas de aço, fabricada em ferro fundido nodular com acabamento texturizado. Ideal para cortes precisos em chapas de até 5/32 polegadas.","Número: 4, Alcance de corte: 210mm, Largura do mordente: 4mm, Espessura de chapa até: 5/32"", Dimensões (CxLxA): 340 x 100 x 235mm, Composição: Ferro Fundido Nodular FE 42012, Acabamento: Pintura a pó eletrostática texturizada, Aplicações: Corte de chapas de aço com dureza máxima de 35HRC",https://brusfer.com.br/tesoura-p-cortar-chapa-n-4-5-32-metalsul-9389,https://d7rh5s3nxmpy4.cloudfront.net/CMP4506/files/MANUAL_TIJERAS_CORTACHAPAS_-_PT.pdf,https://parafutrecos.com.br/tesoura-para-cortar-chapa-10-reta-783135.html | https://cesarnatal.com.br/produto/tesoura-cortar-chapa-n-3-chapa-1-8 | https://www.dutra.com.br/p/tesoura-manual-para-cortar-chapa-10-7831355-7831355
10604,TESOURA P/CORTAR CHAPA N.5,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,FERRAMENTA,"A Tesoura para Cortar Chapa N°5 TC-5 MARCON é uma ferramenta essencial para cortes de chapas de aço com dureza até 35 HRC. Ideal para funilarias, caldeirarias e serralherias industriais, oferece precisão e segurança com sua construção robusta em ferro fundido nodular.","Comprimento da Alavanca: 746 mm, Alcance de Corte: 250 mm, Espessura da Chapa (Máximo): 5 mm - 3/16 POL, Tamanho da Lmina: 340 mm, Espessura da Lmina: 9,53 mm, Material: Ferro Fundido Nodular, Medidas(AxLxC)(mm): 404 x 100 x 440, Peso: 15,2 kg, Garantia: 3 meses",https://palaciodasferramentas.com.br/tesoura-para-cortar-chapa-tc-5-marcon,https://d7rh5s3nxmpy4.cloudfront.net/CMP4506/files/MANUAL_TIJERAS_CORTACHAPAS_-_PT.pdf,https://www.madeiramadeira.com.br/tesoura-para-cortar-chapa-n-5-mtc-05-motomil-549223143.html | https://www.refercomercio.com.br/ferramentas-de-bancada/acessorios/laminas-para-tesoura-de-cortar-chapa-n-5-metalsul | https://grupogmeg.com/produto/tesoura-guilhotina-de-chapa
10128,CHUMBADORQ. BICOMPONENTEAMPOLA12MM KIT,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Chumbador químico bicomponente em ampola de 12mm, ideal para fixação em concreto e alvenaria. Utilizado em instalações de máquinas, equipamentos e estruturas metálicas.","Modelo: AQA12, Diâmetro compatível: 12mm, Tipo: Âncora química em ampola, Aplicação: Concreto e alvenaria, Profundidade mínima: 110mm, Carga última de tração: 8.143 kgf, Carga última de corte: 4.924 kgf, Tempo de cura: 10 minutos a 30°C",https://www.mercadolivre.com.br/kit-10-chumbador-quimico-ancora-ampola-aqa12-12mm-fixacao/up/MLBU4607058170,https://pt.scribd.com/document/473377031/FISPQ-CHUMBADOR-QUIMICO-EM-AMPOLA-RB-POLIESTER,https://mepar.com.br/produto/7311/chumbador-quimico-ampola-12mm-bi-componente | https://www.skrparafusos.com.br/chumbador-quimico-de-ampola-12mm-ancora-aqa12 | https://www.aecweb.com.br/empresa/rock-bolt/7118/conteudo/chumbador-quimico-bicomponente-facil-instalacao-e-alta-resistencia/24712
11863,CHUMBADORQ. BICOMPONENTEAMPOLA16MM KIT,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Chumbador Químico Bicomponente em Ampola 16 mm Âncora, kit com 10 unidades. Ideal para fixações estruturais de alta resistência em concreto, proporcionando ancoragem segura para barras roscadas, vergalhões e chumbadores metálicos.","Marca: Âncora; Tipo: chumbador químico em ampola AQA16; Sistema: bicomponente (resina + endurecedor); Diâmetro da ampola: 16 mm; Aplicação: ancoragem química em concreto; Indicação de uso: fixação estrutural, máquinas, estruturas metálicas, corrimãos e suportes; Compatibilidade: barras roscadas e vergalhões compatíveis com furo de 16 mm.",https://www.ebfixcomercial.com.br/chumbador-quimico-aqa16-ampola-16mm-bicomponente-ancora-10-un,https://pt.scribd.com/document/473377031/FISPQ-CHUMBADOR-QUIMICO-EM-AMPOLA-RB-POLIESTER,https://www.ebfixcomercial.com.br/chumbador-quimico-aqa16-ampola-16mm-bicomponente-ancora-10-un | https://www.piatatem.com.br/chumbador-quimico-em-ampola-rb--poliester----16mm----rock-bolt-85749453 | https://martfer.com.br/produto/chumbador-quimico-ampola-ancora-aqa16-16mm-p
10910,LUVA FIBRA SINTETICA FLEX CUT M9 - WURTH,ACESSORIO/MIUDEZA,ACESSORIO/MIUDEZA,MATERIAL DE SEGURANCA,"Luva de proteção contra agentes mecânicos e com alta resistência ao corte, fabricada em malha sintética em mescla de poliéster, basalto inerte e spandex, com palma em PU antiderrapante.","Certificações: BS EN 420:2003 + A1:2009, EN 388:2016, EN ISO 13997. Composição: malha sintética em mescla de poliéster, basalto inerte e spandex. Palma em PU antiderrapante. Punho elástico. Nível “F” no teste de corte TDM por lâmina fixa.",https://varejo.wurth.com.br/p/8053984/luva-em-fibra-sintetica-flex-cut-f-9-wurth-0899451502-par,https://s3.sa-east-1.amazonaws.com/bd-sp.canaldapeca.com.br/Wurth/MANUAIS/12-04-2022/13.10.0220/13.10.0220.pdf,https://varejo.wurth.com.br/p/8053984/luva-em-fibra-sintetica-flex-cut-f-9-wurth-0899451502-par | https://s3.sa-east-1.amazonaws.com/bd-sp.canaldapeca.com.br/Wurth/MANUAIS/12-04-2022/13.10.0220/13.10.0220.pdf
